sam_address_id,full_address,mailing_neighborhood,state,zip_code,x_coord,y_coord,recollect,trashday,pwd_district
360473,64 N Margin St #2,Boston,MA,2113,-71.05683043,42.36495951772371,MTH,MTH,1
161627,5 Arlington Ave,Charlestown,MA,2129,-71.07327824,42.38663654,,,
137637,556 Tremont St #2,Roxbury,MA,2118,-71.07156051,42.34369953868422,TF,TF,1
106435,51 Paragon Rd,West Roxbury,MA,2132,-71.16407088,42.26911967692239,F,F,6
321222,226 Tremont St #5,Boston,MA,2116,-71.06457048,42.35138952882381,MF,MF,1
220866,3 Cufflin St #1,Brighton,MA,2135,-71.17417072,42.351349672136685,TH,TH,4
290865,63 Parker Hill Ave Unit 426A,Mission Hill,MA,2120,-71.10906062,42.33054959,TF,TF,10
255036,311 Huntington Ave #4A,Boston,MA,2115,-71.08746455,42.34122155999717,TF,TF,10
263029,105 Lawrence Ave #2,Dorchester,MA,2121,-71.07496059,42.31067954646037,T,T,3
26993,64 W Cedar St #3,Boston,MA,2114,-71.07026747,42.35968453579677,MF,MF,1
420177,1 Franklin St #1909,Boston,MA,2110,-71.05952603,42.35577608942076,MF,MF,1
163452,17 Clarendon St,Boston,MA,2116,-71.07192644,42.34472637347548,TF,TF,1
218511,31 Coolidge Rd # 1,Allston,MA,2134,-71.1298876,42.35969461282176,F,F,4
93157,91-93 Maxwell St # 91-1,Dorchester,MA,2124,-71.08037067,42.28188955663349,W,W,7
51879,42 Eighth St #3414,Charlestown,MA,2129,-71.0523994,42.37483051096919,W1A,W,1A
178376,38 Annunciation Rd #A,Mission Hill,MA,2120,-71.09187057,42.33519956653839,TF,TF,10
333621,66 Webster St #2,East Boston,MA,2128,-71.03797138,42.36728349328946,W,W,9
337443,12 Wilton St # 3,Hyde Park,MA,2136,-71.12591084,42.24908963039331,T,T,8
225952,29 Doris St #3,Dorchester,MA,2125,-71.05772055,42.31367952274717,TH,TH,3
135294,207 W Third St,South Boston,MA,2127,-71.04959047,42.339229509871885,TH5,TH,5
304420,8 Saint Lukes Rd # 3,Allston,MA,2134,-71.12680062,42.351859610150456,W,W,4
429969,300 Harrison Ave #139,Roxbury,MA,2118,-71.0624614,42.34602294615494,TF,TF,1
137719,591 Tremont St #3,Roxbury,MA,2118,-71.07321051,42.34337954052197,TF,TF,1
152532,79 Worcester St,Roxbury,MA,2118,-71.07785053,42.33954954765962,TF,TF,1
241471,70 Glencoe St # 2,Brighton,MA,2135,-71.14887366,42.35318763875042,T,T,4
350563,74 Zeigler St,Roxbury,MA,2119,-71.08178009,42.32932611072473,MTH,MTH,10
290732,256 Parker Hill Ave #1,Mission Hill,MA,2120,-71.10079061,42.32856957922101,TF,TF,10
197771,61 Brookline Ave #215,Boston,MA,2215,-71.09900056,42.34718957443716,TF,TF,10
359270,111 Beach St #3A,Boston,MA,2111,-71.05795046,42.35063952026318,MF,MF,1
269309,183 Marlborough St #B,Boston,MA,2116,-71.08014051,42.35272954905403,MTH,MTH,1
256408,896 Huntington Ave #7,Mission Hill,MA,2120,-71.11167063,42.33195959329522,TF,TF,10
236624,117 Forest Hills St #1B,Jamaica Plain,MA,2130,-71.10314066,42.30803958518096,W,W,2
188190,40 Berkeley St #732,Boston,MA,2116,-71.0709005,42.34593953760193,TF,TF,1
220679,54 Crestwood Park # 1,Roxbury,MA,2119,-71.0870006,42.31791956206848,MTH,MTH,10
273726,511 Medford St #1,Charlestown,MA,2129,-71.06960041,42.38399953239832,,,
182999,86 Bay State Rd #5,Boston,MA,2215,-71.09681055,42.349829571187854,TF,TF,10
242434,76 Goodenough St # 1,Brighton,MA,2135,-71.15418067,42.35474964528154,M,M,4
424472,24 Rockland St #13,Roxbury,MA,2119,-71.08399059,42.321929557513165,MTH,MTH,10
290875,7 Parker Hill Ave #2,Mission Hill,MA,2120,-71.10975062,42.33285959059423,TF,TF,10
125013,235 W Selden St,Mattapan,MA,2126,-71.08978071,42.27341957,W,W,7
163121,7 Chamblet St,Dorchester,MA,2125,-71.07195632,42.31594536490141,W,W,3
378786,18 Woodfield St,Dorchester,MA,2122,-71.0516906,42.28362951664568,TH,TH,7
323369,19 Turner St # 3,Brighton,MA,2135,-71.1618807,42.34967965645893,M,M,4
174595,133 Standard St,Mattapan,MA,2126,-71.08013068,42.276449557138434,W,W,7
185501,253 N Beacon St #35,Brighton,MA,2135,-71.15161866,42.35706964152766,M,M,4
402412,225 Baker St #14,West Roxbury,MA,2132,-71.16676087,42.27692967883978,F,F,6
360542,10 Noyes Pl # 1,Boston,MA,2113,-71.05602043,42.36509951666898,MTH,MTH,1
218462,3 Conway St #30,Roslindale,MA,2131,-71.13016077,42.28785962552897,W,W,6
199838,38 Burton St # 2,Brighton,MA,2135,-71.17236971,42.35466866903703,M,M,4
375597,14 John Eliot Sq #5A,Roxbury,MA,2119,-71.09038058,42.329389565225085,MTH,MTH,10
217304,566 Commonwealth Ave #1001,Boston,MA,2215,-71.09882756,42.34877757397974,TF,TF,10
153018,62-64 Wrentham St # 4,Dorchester,MA,2124,-71.06031661,42.288462528036085,F,F,7
336086,22 Wheatland Ave # 1,Dorchester,MA,2124,-71.07290062,42.29346954533257,T,T,7
431951,860 Harrison Ave #98,Roxbury,MA,2118,-71.07532603,42.33450135350768,TF,TF,10
452091,238-240 Warren St,Roxbury,MA,2119,-71.08200235,42.32260583112589,MTH,MTH,10
368012,303 Columbus Ave #306,Boston,MA,2116,-71.07451051,42.34678954230656,TF,TF,1
99205,58 Mozart St,Jamaica Plain,MA,2130,-71.10440063,42.32079958526445,MTH,MTH,10
12641,15 N Beacon St #423,Allston,MA,2134,-71.13765063,42.35424962356704,F,F,4
409991,112 Lake Shore Rd # 2,Brighton,MA,2135,-71.16730073,42.34330966493968,TH,TH,4
288078,28 Oxford St #5,Boston,MA,2111,-71.06026047,42.35162952321049,MF,MF,1
276805,7 Montfern Ave #1,Brighton,MA,2135,-71.1644427,42.35026965970134,M,M,4
360754,20 Tileston St #1C,Boston,MA,2113,-71.05393042,42.36533951395754,MTH,MTH,1
198767,4 Browning Ave #2,Dorchester,MA,2124,-71.08054064,42.29421955585072,M,M,3
305396,14 Samoset St # 1,Dorchester,MA,2124,-71.06473061,42.29170953413525,T,T,7
830,567 Adams St,Dorchester,MA,2124,-71.0566006,42.29027952278537,F,F,7
249873,52 Hazleton St #2,Mattapan,MA,2126,-71.09570071,42.279829578628345,M,M,7
151543,22 Woodglen Rd,Hyde Park,MA,2136,-71.12127084,42.243819650215286,M,M,8
413591,75 Pierce St # 2,Hyde Park,MA,2136,-71.11713081,42.256919612175984,T,T,8
39369,2000 Commonwealth Ave #1102,Brighton,MA,2135,-71.15852071,42.33941965377336,TH,TH,4
18960,34 Bradford St # 1,Roxbury,MA,2118,-71.0685545,42.34290253493015,TF,TF,1
367357,186 Commonwealth Ave #46,Boston,MA,2116,-71.07974051,42.351019548730086,MTH,MTH,1
32057,72 Chickatawbut St,Dorchester,MA,2122,-71.05005059,42.28563951418411,TH,TH,7
387571,9 W Broadway #114,South Boston,MA,2127,-71.05756817,42.34256397724389,F5,F,5
330200,96 Washington St #B1,Brighton,MA,2135,-71.14406067,42.34405963413722,T,T,4
229388,4 Ellis St # 1,Roxbury,MA,2119,-71.0918506,42.32302956798355,MTH,MTH,10
177098,38 Allston St #2,Charlestown,MA,2129,-71.06337041,42.380809524814346,W1A,W,1A
114423,26 Radnor Rd,Brighton,MA,2135,-71.15797071,42.34071965336371,TH,TH,4
346437,104 W Broadway,South Boston,MA,2127,-71.05480905,42.34165902681573,TH5,TH,5
194922,11 Bradford St # 2,Roxbury,MA,2118,-71.06898051,42.34244953546885,TF,TF,1
160066,95 Topliff St #3,Dorchester,MA,2122,-71.06781557,42.30155139300523,T,T,3
412346,150 Georgetowne Pl,Hyde Park,MA,2136,-71.14532088,42.254139653076365,F,F,6
323601,146 Tyndale St # 2,Roslindale,MA,2131,-71.1438608,42.28690964478696,W,W,6
78924,22 Irving St # 4,Boston,MA,2114,-71.06625046,42.36060953,MF,MF,1
176523,43 Aldie St #1,Allston,MA,2134,-71.13509462,42.35876861972111,F,F,4
122227,66 Sanborn Ave,West Roxbury,MA,2132,-71.16533086,42.28125967632808,F,F,6
41779,30-34 E Concord St # 10,Roxbury,MA,2118,-71.07403053,42.33739954260217,TF,TF,1
177737,34 Amherst St #2,Roslindale,MA,2131,-71.13219078,42.28573962872739,TH,TH,6
243128,83 Greaton Rd # 1,West Roxbury,MA,2132,-71.15144081,42.290959654519085,W,W,6
7143,2 Avery St #32D,Boston,MA,2111,-71.06284247,42.35306653,MF,MF,1
5460,472 Ashmont St,Dorchester,MA,2122,-71.05384059,42.288849519752986,TH,TH,7
62399,740-744 Gallivan Blvd,Dorchester,MA,2122,-71.04576058,42.28461951,TH,TH,7
301359,24 Rosemont St #1,Dorchester,MA,2122,-71.05628059,42.29281952238887,F,F,7
422636,41 Breck Ave,Brighton,MA,2135,-71.16889169,42.34933161066247,TH,TH,4
230620,59 Endicott St # 3,Boston,MA,2113,-71.05705043,42.36353951815151,MTH,MTH,1
207661,125 Chiswick Rd #507,Brighton,MA,2135,-71.1524107,42.34080965,T,T,4
267805,40 Manthorne Rd # 2,West Roxbury,MA,2132,-71.15098081,42.288549654341445,M,M,6
13541,53 Belfort St,Dorchester,MA,2125,-71.05407053,42.314819517416886,F,F,3
359090,42 Beach St #6B,Boston,MA,2111,-71.06093491,42.35160266709886,MF,MF,1
366565,190 Beacon St #2,Boston,MA,2116,-71.0775305,42.354339545500174,MTH,MTH,1
141009,50 Von Hillern St,South Boston,MA,2127,-71.05512052,42.32441951816077,TH5,TH,5
255655,650 Huntington Ave #7L,Mission Hill,MA,2120,-71.10043059,42.33527957783087,TF,TF,10
247941,490 Harrison Ave #203,Roxbury,MA,2118,-71.0657895,42.34214053126813,TF,TF,1
108983,103 Pembroke St,Roxbury,MA,2118,-71.07652052,42.34246954527824,TF,TF,1
350844,2001 Commonwealth Ave,Brighton,MA,2135,-71.15820515,42.34014377883495,TH,TH,4
129314,29 Speedwell St,Dorchester,MA,2122,-71.06690059,42.304129535779744,T,T,3
262138,206 L St # 2,South Boston,MA,2127,-71.03502046,42.33113949118945,T5,T,5
41029,50 Commonwealth Ave #502,Boston,MA,2116,-71.0739805,42.35256954064207,MTH,MTH,1
219195,320 Cornell St # 1,Roslindale,MA,2131,-71.1392808,42.28179963932106,TH,TH,6
